date,time,temp,hum,dust,mdust
2024-11-21,04:01:42,23,49,22,21
2024-11-21,04:02:11,23,49,22,21
2024-11-21,04:02:41,23,49,21,20
2024-11-21,04:03:10,23,49,24,22
2024-11-21,04:03:39,23,49,22,21
2024-11-21,04:04:08,23,49,16,16
2024-11-21,04:04:38,23,49,21,20
2024-11-21,04:05:07,23,49,18,18
2024-11-21,04:05:36,23,49,22,21
2024-11-21,04:06:05,23,49,22,20
2024-11-21,04:06:35,23,49,21,20
2024-11-21,04:07:04,23,49,19,19
2024-11-21,04:07:33,23,49,23,22
2024-11-21,04:08:02,23,49,22,22
2024-11-21,04:08:32,23,49,21,20
2024-11-21,04:09:01,23,49,21,20
2024-11-21,04:09:30,23,49,24,20
2024-11-21,04:09:59,23,49,19,18
2024-11-21,04:10:29,23,49,21,20
2024-11-21,04:10:58,23,49,16,16
2024-11-21,04:11:27,23,49,23,21
2024-11-21,04:11:56,23,49,22,20
2024-11-21,04:12:26,23,49,20,20
2024-11-21,04:12:55,23,49,22,22
2024-11-21,04:13:24,23,49,20,20
2024-11-21,04:13:53,23,49,21,20
2024-11-21,04:14:23,23,49,24,23
2024-11-21,04:14:52,23,49,24,21
2024-11-21,04:15:21,23,49,22,21
2024-11-21,04:15:51,23,49,22,22
2024-11-21,04:16:20,23,49,22,21
2024-11-21,04:16:49,23,49,20,20
2024-11-21,04:17:18,23,49,23,21
2024-11-21,04:17:48,23,49,20,20
2024-11-21,04:18:17,23,49,23,21
2024-11-21,04:18:46,23,49,21,20
2024-11-21,04:19:15,23,49,24,22
2024-11-21,04:19:45,23,49,18,18
2024-11-21,04:20:14,23,49,25,24
2024-11-21,04:20:43,23,49,21,21
2024-11-21,04:21:12,23,49,27,22
2024-11-21,04:21:42,23,49,20,20
2024-11-21,04:22:11,23,49,20,20
2024-11-21,04:22:40,23,49,25,25
2024-11-21,04:23:09,23,49,21,21
2024-11-21,04:23:39,23,49,18,18
2024-11-21,04:24:08,23,49,21,21
2024-11-21,04:24:37,23,49,24,21
2024-11-21,04:25:06,23,49,18,18
2024-11-21,04:25:36,23,49,20,20
2024-11-21,04:26:05,23,49,22,22
2024-11-21,04:26:34,23,49,22,21
2024-11-21,04:27:03,23,49,19,19
2024-11-21,04:27:33,23,49,19,18
